ID,Gender,Age,Customer Type,Class,Flight Distance,Departure Delay,Arrival Delay,Departure and Arrival Time Convenience,Ease of Online Booking,Check-in Service,Online Boarding,On-board Service,Seat Comfort,Leg Room Service,Cleanliness,Food and Drink,In-flight Entertainment,Satisfaction
1,Male,48,First-time,Business,821,2,,3,3,4,3,3,5,2,5,5,5,Neutral or Dissatisfied
2,Female,35,Returning,Business,821,26,,2,2,3,5,5,4,5,5,3,5,Satisfied
3,Male,41,Returning,Business,853,0,,4,4,4,5,3,5,3,5,5,3,Satisfied
4,Male,50,Returning,Business,1905,0,0,2,2,3,4,5,5,5,4,4,5,Satisfied
5,Female,49,Returning,Business,3470,0,1,3,3,3,5,3,4,4,5,4,3,Satisfied
6,Male,43,Returning,Business,3788,0,0,4,4,3,5,4,4,4,3,3,4,Satisfied
7,Male,43,Returning,Business,1963,0,0,3,3,4,4,5,5,5,4,5,5,Satisfied
8,Female,60,Returning,Business,853,0,3,3,4,3,4,3,4,4,4,4,3,Satisfied
9,Male,50,Returning,Business,2607,0,0,1,1,3,2,4,3,4,3,3,4,Neutral or Dissatisfied
10,Female,38,Returning,Business,2822,13,0,2,5,3,5,5,4,5,4,2,5,Satisfied
11,Female,28,First-time,Business,821,0,5,1,1,3,1,2,2,5,2,2,2,Neutral or Dissatisfied
12,Female,27,First-time,Business,421,20,21,2,2,1,2,2,2,5,1,1,1,Neutral or Dissatisfied
13,Male,24,First-time,Economy,453,16,30,2,2,2,2,2,5,4,5,5,5,Neutral or Dissatisfied
14,Male,9,Returning,Business,853,68,76,5,1,5,1,4,5,3,5,5,5,Neutral or Dissatisfied
15,Male,52,Returning,Economy,853,0,0,4,2,3,2,3,2,3,2,2,2,Neutral or Dissatisfied
